# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0032991	macromolecular complex	ABCB6 ABCB8 ABCF1 ABHD12 ABI1 ABT1 ACIN1 ACTB ACTG1 ACTL6A ACTN4 ACTR1A ACTR1B ACTR2 ACTR3 ADAR ADRM1 AFG3L2 AFTPH AGK AIMP1 AIMP2 AIP AKAP8L AKAP9 ALAD ANP32E AP1B1 AP1G1 AP1M1 AP2A1 AP2B1 AP2M1 AP2S1 AP3B1 AP3D1 AP3M1 AP3S1 APEX1 API5 APOO ARCN1 ARFGEF2 ARHGAP4 ARHGEF2 ARHGEF7 ARID1A ARIH1 ARL3 ARPC2 ARPC3 ARPC5 ATG3 ATP1A1 ATP1B3 ATP2A2 ATP6V0A1 ATP6V1A ATP6V1B2 ATP6V1D ATP6V1E1 ATP6V1F ATP6V1H ATXN2L B2M BABAM1 BAK1 BAX BAZ1B BCAS2 BCCIP BCKDHA BCKDHB BCL2L1 BLOC1S2 BRK1 BUB3 BUD31 CACYBP CAD CALR CAND1 CANX CAPN2 CAPRIN1 CAPZA1 CAPZA2 CAPZB CARHSP1 CASP1 CASP10 CASP3 CASP8 CBX1 CBX3 CBX5 CCNA2 CCT2 CCT3 CCT4 CCT5 CCT6A CCT7 CCT8 CD2AP CD2BP2 CD44 CD74 CDC37 CDC42 CDC5L CDC73 CDK1 CDK5 CDK5RAP3 CHAF1A CHAF1B CHAMP1 CHCHD1 CHCHD3 CHMP1A CHMP2A CHMP4B CHMP7 CHTOP CIAO1 CIRBP CISD2 CKAP4 CKAP5 CLASP1 CLIC1 CLIC2 CLIC4 CLNS1A CLPP CLPX CLTA CLTB CLTC CNOT1 CNOT3 CNOT7 COPA COPB1 COPB2 COPE COPG1 COPG2 COPS2 COPS3 COPS4 COPS5 COPS6 COPS7A COPS7B COPS8 COPZ1 CORO1A CORO1C COX4I1 COX5A CPSF1 CPSF2 CPSF3 CPSF6 CPSF7 CSDE1 CSNK2A1 CSNK2B CSTF2 CTBP1 CTNNBL1 CUL1 CUL2 CUL3 CWC15 CWC27 CYB5R3 CYCS DAD1 DAZAP1 DBNL DCTN2 DCTN3 DCTN5 DCTN6 DCUN1D1 DCXR DDA1 DDB1 DDOST DDX1 DDX20 DDX23 DDX41 DDX5 DDX6 DERL1 DFFA DHX15 DHX29 DHX30 DHX38 DHX9 DKC1 DLAT DLD DLST DNAJC10 DNAJC19 DNAJC3 DNM1L DNM2 DNMT1 DPF2 DPM1 DR1 DRG1 DYNC1H1 DYNC1I2 DYNC1LI1 DYNLL1 DYNLL2 EDC4 EEA1 EEF1A1 EEF1B2 EEF1D EEF1E1 EEF2 EEFSEC EFTUD2 EIF2A EIF2AK2 EIF2B1 EIF2B3 EIF2B5 EIF2S1 EIF2S2 EIF2S3 EIF3A EIF3B EIF3D EIF3E EIF3F EIF3G EIF3I EIF3J EIF3K EIF3M EIF4A1 EIF4A2 EIF4A3 EIF4B EIF4E EIF4G1 EIF4G2 EIF4H ELAVL1 ELMO1 EMD EML4 ENO1 ENO2 ENY2 EPB41 EPS15 ERC1 ERH EXOC8 EXOSC10 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC8 EZR FADD FAF2 FAM98B FARSA FARSB FBL FEN1 FERMT3 FH FKBP15 FKBP4 FKBP8 FLNA FLOT1 FLOT2 FMR1 FNTA FTL FUS FXR1 FXR2 G3BP1 GABPA GADD45GIP1 GANAB GAPDH GAR1 GAS2 GATAD2A GATAD2B GDI1 GEMIN5 GET4 GIGYF2 GLDC GLMN GLYR1 GM2A GNB1 GNB2 GNG5 GNG7 GOLGA2 GOSR1 GOT2 GPKOW GPS1 GPX4 GRB2 GRSF1 GRWD1 GSTP1 GTF2A1 GTF2B GTF2E1 GTF2E2 GTF2F2 GTF3C3 GTF3C5 GTPBP1 HADHA HAT1 HAX1 HCFC1 HCLS1 HDAC7 HDGF HDLBP HGS HIGD1A HINT1 HM13 HMGA1 HMGB2 HNRNPA0 HNRNPA2B1 HNRNPA3 HNRNPAB HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 HOOK3 HP1BP3 HSD17B10 HSF1 HSP90AA1 HSP90AB1 HSP90B1 HSPA5 HSPA8 HSPD1 HSPH1 HTRA2 HYOU1 HYPK IDE IGF2R IK IKZF1 ILF2 ILF3 ILK IMMT INCENP IQGAP1 IRF4 ITGB1 ITGB5 ITGB7 JMJD6 KCNAB2 KHDRBS1 KHSRP KIDINS220 KIF11 KIF23 KIF5B KIFC1 LAGE3 LAMTOR1 LAMTOR2 LAMTOR3 LARP1 LARP7 LAS1L LCP1 LCP2 LEO1 LGALS3 LIMD1 LMNA LMNB1 LPXN LRPPRC LRWD1 LSM1 LSM14A LSM14B LSM2 LSM3 LSM4 LSM5 LSM6 LSR MAGT1 MALT1 MAP2K2 MAP4 MAPK1 MAPK3 MAPRE1 MAT2A MAT2B MBD2 MCCC1 MCCC2 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MICAL1 MICU1 MIER1 MMS19 MPHOSPH10 MRPL11 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL21 MRPL22 MRPL23 MRPL24 MRPL27 MRPL28 MRPL3 MRPL32 MRPL34 MRPL37 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL9 MRPS11 MRPS12 MRPS14 MRPS15 MRPS16 MRPS18A MRPS18B MRPS18C MRPS2 MRPS22 MRPS23 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS36 MRPS5 MRPS6 MRPS7 MRPS9 MSH2 MSH6 MSI2 MTPN MVP MYBBP1A MYH10 MYH9 MYL6 MYO18A MYO1C MYO1D MYO5A MYO6 NAA10 NAA15 NAA38 NACA NAPA NASP NCAPD2 NCAPG NCAPH NCBP1 NCBP2 NCKAP1L NCL NCSTN NDRG1 NDUFA10 NDUFA13 NDUFA2 NDUFA3 NDUFA6 NDUFA8 NDUFA9 NDUFB1 NDUFB10 NDUFB11 NDUFB4 NDUFB5 NDUFB6 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NECAP2 NEK7 NFKB1 NFKB2 NFYA NHP2 NME1 NONO NOP10 NOP14 NOP56 NOP58 NPLOC4 NPM1 NSFL1C NSL1 NSUN2 NUCKS1 NUDC NUDCD2 NUDCD3 NUDT21 NUMA1 NUP107 NUP133 NUP153 NUP160 NUP43 NUP62 NUP85 NUP98 NUTF2 OGDH OGT OS9 P4HA1 P4HB PA2G4 PAAF1 PABPC4 PABPN1 PAF1 PAFAH1B1 PAK1 PARK7 PARP1 PATL1 PAWR PBRM1 PBXIP1 PCBP1 PCM1 PCNA PCP4 PDCD6 PDHA1 PDHB PDHX PDIA6 PDK1 PDLIM1 PDRG1 PDS5A PDS5B PEA15 PELP1 PES1 PEX11B PEX19 PFDN1 PFDN2 PFDN6 PFKL PFKM PHB2 PHC3 PHF5A PHF6 PIGK PKP2 PLCG1 PLRG1 PML PMPCB PNN PNPT1 POGZ POLD1 POLDIP3 POLE3 POLR1C POLR2A POLR2B POLR2C POLR2D POLR2E POLR2I POU2AF1 POU2F1 PPIB PPIE PPIF PPIH PPIL1 PPIL3 PPP1CB PPP1R10 PPP1R12A PPP1R8 PPP2R1A PPP2R2A PPP4C PPP4R1 PPP4R2 PPP5C PQBP1 PRDX3 PRKAR1A PRKAR2A PRKCA PRKDC PRKRA PRMT1 PRMT5 PRPF19 PRPF3 PRPF31 PRPF4 PRPF4B PRPF6 PRPF8 PRPS2 PSIP1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTCD3 PTGES3 PTK2B PTPN6 PUF60 PUM1 PURA PURB RAB3GAP1 RAB3GAP2 RABEP1 RABGGTB RAD21 RAD23A RAD23B RALY RAN RANBP2 RANGAP1 RASSF5 RBBP4 RBBP6 RBBP7 RBM14 RBM17 RBM22 RBM28 RBM39 RBM8A RBX1 RCC1 RCC2 RCSD1 REEP4 RELA REPIN1 RFC2 RFC3 RFC4 RING1 RNASEH2A RNASEH2B RNASEH2C RNF20 RNF40 RNH1 RNMT RNPS1 RPA1 RPA2 RPA3 RPAP3 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL37 RPL37A RPL38 RPL4 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPN1 RPN2 RPRD1A RPRD1B RPRD2 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS7 RPS8 RPS9 RRBP1 RRM1 RRP1 RRP1B RRP8 RRP9 RSF1 RTF1 RUNX2 RUVBL1 RUVBL2 SACM1L SAE1 SAMM50 SAP18 SAR1A SART1 SCP2 SCRIB SCYL1 SDC1 SDF2L1 SDHA SDHB SEC13 SEC23A SEC23B SEC24C SEC24D SEC31A SEC61B SEL1L SERPINB6 SET SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SFPQ SH3GL1 SHC1 SHMT2 SIN3A SKP1 SLC1A4 SLC25A5 SLC25A6 SLIRP SMARCA2 SMARCA4 SMARCA5 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SMC1A SMC2 SMC3 SMC4 SNAP23 SNAP29 SNAPIN SND1 SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SNX1 SNX2 SNX5 SNX6 SOD1 SP1 SP3 SPATS2L SPC24 SPC25 SPCS1 SPTLC1 SQSTM1 SRA1 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SRPRB SRRM1 SRRM2 SRRT SRSF1 SS18 SSB SSR4 STAT1 STAT3 STAU2 STIM1 STIP1 STK4 STMN1 STRAP STT3A STT3B STX12 STX17 STX5 SUB1 SUCLG2 SUGT1 SUMO1 SUPT4H1 SUPT5H SUPV3L1 SUZ12 SYF2 SYK SYMPK SYNCRIP SYNRG TAB1 TAP1 TAP2 TAPBP TBCA TBCB TBCC TBL1XR1 TCEA1 TCP1 TERF2IP TES TFIP11 TFRC THOC2 THOC3 THOC5 THOC7 THRAP3 TIA1 TIAL1 TIMM10 TIMM13 TIMM50 TIMM8B TIMM9 TMED10 TMPO TOLLIP TOMM22 TOMM40 TOP1 TOP2A TOP2B TPM4 TPR TRA2B TRADD TRAPPC5 TRIM28 TRMT112 TSG101 TSTD1 TTC37 TUBA1B TUBA1C TUBA4A TUBB TXNL1 U2AF2 UBA2 UBAP2L UBE2E1 UBE2I UBE2L3 UBE2V2 UBL4A UBXN1 UBXN7 UCHL5 UFL1 UGGT1 UHRF1 UPF1 UPF3B UQCRC2 USP10 USP14 USP47 USP7 VAC14 VAMP2 VAMP8 VCL VCP VDAC1 VDAC2 VDAC3 VIM VPS16 VPS18 VPS26B VPS28 VPS29 VPS35 VPS37B WAS WASF2 WDR1 WDR33 WDR5 WDR61 WFS1 WIPF1 XAB2 XPO1 XPO5 XRCC1 XRCC5 XRCC6 YBX1 YKT6 YTHDF2 YWHAB YWHAE YWHAQ ZNF207 ZNF326 ZW10
GO:0032993	protein-DNA complex	GLYR1 GTF2B GTF2E1 GTF2F2 HP1BP3 IRF4 NFYA NPM1 PARP1 PCNA PRKDC SP1 SP3 SUZ12 TERF2IP TOP1 XRCC5 XRCC6
GO:0032994	protein-lipid complex	APOO HDLBP LSR
GO:0033002	muscle cell proliferation	PRKAR1A
GO:0033003	regulation of mast cell activation	RAC2 STXBP2 VAMP8
GO:0033005	positive regulation of mast cell activation	VAMP8
GO:0033006	regulation of mast cell activation involved in immune response	RAC2 STXBP2 VAMP8
GO:0033008	positive regulation of mast cell activation involved in immune response	VAMP8
GO:0033010	paranodal junction	AKR1B1
GO:0033013	tetrapyrrole metabolic process	ABCB6 ALAD BLVRA BLVRB CPOX FECH HMBS HMOX2 PPOX SUCLA2 TSPO UROD
GO:0033014	tetrapyrrole biosynthetic process	ABCB6 ALAD CPOX FECH HMBS PPOX SUCLA2 TSPO UROD
GO:0033015	tetrapyrrole catabolic process	BLVRA BLVRB HMOX2
GO:0033017	sarcoplasmic reticulum membrane	ATP2A2 ATP2A3 CHERP JSRP1 SRI STIM1 TMEM109
GO:0033018	sarcoplasmic reticulum lumen	CALR CALU
GO:0033032	regulation of myeloid cell apoptotic process	MIF TCP1
GO:0033033	negative regulation of myeloid cell apoptotic process	MIF
GO:0033036	macromolecule localization	ACTN4 AFTPH AGK AHCTF1 AHCYL1 AIP AKAP8 AP1B1 AP1G1 AP1M1 AP2A1 AP2B1 AP2M1 AP2S1 AP3B1 AP3D1 AP3M1 AP3S1 ARCN1 ARFGAP1 ARFGAP2 ARFGAP3 ARFGEF2 ARFIP1 ARHGAP1 ARHGEF2 ARMCX3 ATG3 ATP1B3 ATP6V0A1 ATP6V1A ATP6V1B2 ATP6V1D ATP6V1E1 ATP6V1F ATP6V1H AUP1 BCAP31 BICD2 BID BSG BTF3 CALR CANX CCDC22 CD74 CDC37 CDC42 CDK1 CDK5 CHAMP1 CHCHD4 CHMP1A CHMP2A CHMP4B CHMP5 CHMP7 CLTA CLTB CLTC COPB1 COPE COPG1 COPG2 COPZ1 CSE1L CTCF CTSA CUTA DCTN2 DDX1 DDX42 DERL1 DERL2 DHX9 DIAPH1 DNAJA1 DNAJA3 DNAJC13 DNAJC19 DNM1L DNM2 EHD1 EIF5A EPS15 ERC1 ERP29 EXOC8 EXOSC10 EZR FAF2 FBL FKBP4 FLNA FLOT1 FLOT2 FNTA GAS6 GBF1 GDI1 GDI2 GOLPH3 GOLT1B GOSR1 GUK1 HERPUD1 HGS HNRNPU HOMER3 HOOK3 HSP90AA1 HSP90B1 HSPA4 HSPA8 HSPA9 IK IPO5 IPO7 IPO9 IST1 ITGB7 KPNA1 KPNA2 KPNA3 KPNA4 KPNB1 LAMTOR1 LAMTOR2 LAMTOR3 LCP2 LMAN2 LMNA M6PR MAPRE1 MIA3 MTCH2 MTX1 MTX2 MVP MYH9 MYO1C MYO5A MYO6 NAPA NASP NDUFA13 NECAP2 NOP58 NPLOC4 NPM1 NSF NUBP1 NUP214 NUP54 NUTF2 OPTN OS9 OSBPL8 PAF1 PAFAH1B1 PARK7 PCM1 PDCD6 PDCD6IP PDIA3 PDIA4 PES1 PEX19 PHB2 PITRM1 PKP2 PLEK PLRG1 PML PNP PPID PPP1R10 PPT1 PREB PRPF19 PRPF6 RAB11B RAB14 RAB18 RAB1A RAB21 RAB24 RAB27A RAB2A RAB3GAP2 RAB3IP RAB4A RAB5A RAB5C RAB6A RAB7A RAB8A RABEP1 RABIF RAD21 RAF1 RAN RANBP2 RBM22 RCC2 RDX RHOB RPA1 RPA2 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL37 RPL37A RPL38 RPL4 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS7 RPS8 RPS9 RRBP1 RRS1 RUFY1 SAMM50 SAR1A SCAMP1 SCAMP2 SCAMP3 SCARB2 SCFD1 SCRIB SEC13 SEC16A SEC22B SEC23A SEC23B SEC23IP SEC24C SEC24D SEC31A SEC61B SEC61G SEC62 SEC63 SEL1L SH3GLB1 SIN3A SLC25A6 SLC9A3R1 SNAP23 SNAP29 SNAPIN SNX1 SNX12 SNX2 SNX3 SNX5 SNX6 SQSTM1 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SSB SSNA1 SSR1 SSR3 STAT3 STOML2 STX17 STXBP2 STXBP3 SUMO1 SYK SYNRG TAP1 TAP2 TCP1 TERF2IP TFRC TIA1 TIMM10 TIMM13 TIMM44 TIMM8A TIMM8B TIMM9 TMED10 TMEM30A TNPO1 TNPO3 TOLLIP TOM1 TOMM22 TOMM34 TOMM40 TOR1AIP1 TPR TRAM1 TSG101 TSNAX TSPO UNC93B1 VAMP2 VAMP8 VAPA VCL VCP VPS16 VPS18 VPS35 VPS37B VPS45 VPS4A VPS4B VTA1 XPA XPO1 XPO5 XPO7 XRCC5 YBX1 YIPF5 YKT6 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ ZFAND6 ZW10
GO:0033043	regulation of organelle organization	ACAA2 ACTL6A ACTR2 ACTR3 AKAP8 AKAP8L AKAP9 ARHGAP18 ARHGDIA ARHGDIB ARHGEF2 ARPC2 ARPC3 ARPC5 ATG3 ATL3 ATXN2L BAK1 BAX BCL2L1 BICD2 BID BRD7 BRK1 BST2 C1QBP CALR CAPN2 CAPZA1 CAPZA2 CASP8 CCT2 CCT3 CCT4 CCT5 CCT6A CCT7 CCT8 CD2AP CDC42 CDK5 CFL1 CHMP1A CHMP2A CHMP4B CHMP5 CHORDC1 CHTOP CIB1 CLASP1 CLIC4 CLTC CNOT1 CORO1A CTBP1 CTCF CUL3 CYB5R1 DHX36 DIAPH1 DKC1 DNM1L DNM2 DNMT1 DSTN DYNC1H1 DYNLL1 DYNLL2 EXOSC10 EZR FAM162A FEN1 FHOD1 FKBP4 FMR1 GMFB GMFG GNL3 GOLPH3 GRB2 HAX1 HCLS1 HMGA1 HNRNPA2B1 HNRNPC HNRNPD HNRNPU HTRA2 HUWE1 IK ILK IQGAP2 IWS1 KIF11 KIF5B LCP1 LIG3 LMAN1 LMNA LRPPRC MAP2K1 MAP2K2 MAP4 MAPK1 MAPK3 MAPRE1 MIER1 MIS18A MKI67 MRPS27 MSN MYO1C NAA10 NAT10 NCKAP1L NEK7 NMT1 NOC2L NPEPPS NPM1 NUBP1 NUMA1 NUP62 OGT OPA1 OTUB1 PAF1 PAFAH1B1 PAK1 PARK7 PARN PARP1 PDCD5 PDCD6IP PFDN2 PFN1 PHB2 PHPT1 PIN1 PLEK PML PNKP PPIF PRKAR1A PRKD2 PRMT5 PSMB7 PSMD10 PSMD8 PSMG2 PTK2B RAB3GAP1 RAB3GAP2 RAB5A RAC2 RAD21 RAE1 RASA1 RBM14 RCC1 RCC2 RDX RNF20 RNF40 RPL28 RPS3 RTF1 RUVBL1 RUVBL2 SAE1 SART3 SCFD1 SDC1 SEC22B SET SFN SFPQ SH3GLB1 SIN3A SLC25A5 SMARCB1 SMC1A SMC3 SNW1 SQSTM1 STAT2 STMN1 STOML2 STX5 SUPT6H SURF4 TCP1 TERF2IP TMED9 TMOD3 TMSB4X TPR TRIM28 TRIP13 TSG101 TSPO TWF1 TWF2 U2AF2 UBE2L3 UBL5 UPF1 USP7 VASP VDAC1 VDAC3 VPS35 VPS37B VPS4A VPS4B WAS WASF2 WBP11 WDR1 WDR46 WDR61 XPO1 XRCC5 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ ZNF207 ZW10
GO:0033044	regulation of chromosome organization	AKAP8 AKAP8L BRD7 CCT2 CCT3 CCT4 CCT5 CCT6A CCT7 CCT8 CHTOP CTBP1 CTCF CUL3 DHX36 DKC1 DNMT1 EXOSC10 FEN1 FMR1 GNL3 HMGA1 HNRNPA2B1 HNRNPC HNRNPD HNRNPU IK IWS1 MAPK1 MAPK3 MIER1 MKI67 NAA10 NAT10 NEK7 NOC2L OGT OTUB1 PAF1 PARN PARP1 PML PNKP PRKD2 PSMG2 RAD21 RNF20 RNF40 RTF1 RUVBL2 SART3 SET SFPQ SIN3A SMARCB1 SNW1 SUPT6H TCP1 TERF2IP TPR TRIM28 TRIP13 UPF1 USP7 WDR61 XRCC5 ZNF207
GO:0033045	regulation of sister chromatid segregation	CTCF CUL3 FEN1 HNRNPU IK NAA10 PSMG2 RAD21 SFPQ TPR TRIP13 ZNF207
GO:0033046	negative regulation of sister chromatid segregation	IK NAA10 PSMG2 RAD21 TPR TRIP13 ZNF207
GO:0033047	regulation of mitotic sister chromatid segregation	CUL3 HNRNPU IK NAA10 PSMG2 RAD21 TPR TRIP13 ZNF207
GO:0033048	negative regulation of mitotic sister chromatid segregation	IK NAA10 PSMG2 RAD21 TPR TRIP13 ZNF207
GO:0033057	multicellular organismal reproductive behavior	HEXB MBD2
GO:0033077	T cell differentiation in thymus	B2M DNAJA3 FADD JMJD6 PRKDC RPS6
GO:0033081	regulation of T cell differentiation in thymus	ADA CLPTM1 SOD1
GO:0033089	positive regulation of T cell differentiation in thymus	ADA
GO:0033093	Weibel-Palade body	RAB27A
GO:0033108	mitochondrial respiratory chain complex assembly	AARS2 ACAD9 COX17 COX20 LYRM7 NDUFA10 NDUFA13 NDUFA2 NDUFA3 NDUFA6 NDUFA8 NDUFA9 NDUFAF2 NDUFAF3 NDUFAF4 NDUFB1 NDUFB10 NDUFB11 NDUFB4 NDUFB5 NDUFB6 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 SAMM50 SCO1 SURF1 TFAM TIMMDC1
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	BCAP31 CALR CD59 CTSC ERGIC1 ERGIC3 GOLGA2 LMAN1 LMAN2 RAB2A SEC22B STX17 STX5 SURF4 TAP1 TAP2 TAPBP TMED10 TMED9 YKT6
GO:0033119	negative regulation of RNA splicing	C1QBP HNRNPA2B1 HNRNPK PTBP1 RBM42 RNPS1 RPS13 SAP18 SRSF4 SRSF6 SRSF7 SRSF9 TRA2B U2AF2
GO:0033120	positive regulation of RNA splicing	DAZAP1 HSPA8 NCBP1 NUP98 POLR2A PRDX6 PRPF19 RBM22 SF3B4 SNRNP70 SNW1 SRSF1 SRSF5 THRAP3 TRA2B U2AF2
GO:0033127	regulation of histone phosphorylation	AKAP8 AKAP8L FMR1 MAPK3
GO:0033129	positive regulation of histone phosphorylation	FMR1 MAPK3
GO:0033131	regulation of glucokinase activity	RANBP2
GO:0033133	positive regulation of glucokinase activity	RANBP2
GO:0033135	regulation of peptidyl-serine phosphorylation	AKAP9 BAK1 BAX CD44 CDC42 EIF4G1 GAS6 HAX1 HCLS1 MIF PAK1 PARK7 PDCD10 PRKD2 RAF1 STK4 TBK1 TERF2IP TXN
GO:0033137	negative regulation of peptidyl-serine phosphorylation	BAK1 BAX
GO:0033138	positive regulation of peptidyl-serine phosphorylation	AKAP9 CD44 CDC42 EIF4G1 GAS6 HAX1 HCLS1 MIF PAK1 PARK7 PDCD10 PRKD2 RAF1 STK4 TBK1 TERF2IP TXN
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	BUD31 CALR CBFB CNOT1 DDRGK1 DDX5 PAK1 PARK7 PARP1 PHB PHB2 PPP5C SMARCA4 UBA5 UFL1 UFM1
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	CALR CNOT1 PHB PHB2 SMARCA4
GO:0033145	positive regulation of intracellular steroid hormone receptor signaling pathway	BUD31 PAK1 PARK7 PARP1 PPP5C
GO:0033146	regulation of intracellular estrogen receptor signaling pathway	CBFB CNOT1 DDRGK1 PAK1 PARP1 PHB2 UBA5 UFL1 UFM1
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	CNOT1 PHB2
GO:0033148	positive regulation of intracellular estrogen receptor signaling pathway	PAK1 PARP1
GO:0033149	FFAT motif binding	VAPA VAPB
GO:0033151	V(D)J recombination	HMGB2 PRKDC
GO:0033152	immunoglobulin V(D)J recombination	PRKDC
GO:0033153	T cell receptor V(D)J recombination	PRKDC
GO:0033157	regulation of intracellular protein transport	ACSL3 ACTL6A ANP32B BCAP31 CCDC22 CDC42 CDK1 CDK5 CHERP CIB1 CSK CYB5R1 DERL2 EMD FLNA G3BP2 GAS6 GDI1 HAX1 HCLS1 HSP90AB1 HTRA2 HUWE1 IPO5 KIF5B LCP1 LYPLA1 MAPK1 MAPK14 MIS18A MYO1C NPEPPS NUCB1 NUP54 NUP62 NUP93 NUTF2 OS9 PAK1 PARK7 PARP1 PCM1 PDCD10 PDCD5 PPM1A PRDX1 PSMB7 PSMD10 PSMD8 PTPN1 RAC2 RANGAP1 RBM22 RPL28 RUVBL1 SAE1 SFN SH3GLB1 SLC9A3R1 SRI SVIP TM9SF4 TMEM30A TMSB4X TPR TRIM28 TXN U2AF2 UBE2G2 UBE2J1 UBE2L3 UBL5 VAMP2 WBP11 WDR46 YWHAE
GO:0033158	regulation of protein import into nucleus, translocation	CDK1 GAS6 HSP90AB1 MAPK1 TXN
GO:0033159	negative regulation of protein import into nucleus, translocation	GAS6
GO:0033160	positive regulation of protein import into nucleus, translocation	CDK1 HSP90AB1 MAPK1
GO:0033162	melanosome membrane	RAB27A RAB7A
GO:0033170	protein-DNA loading ATPase activity	RFC3
GO:0033176	proton-transporting V-type ATPase complex	ATP6V1D ATP6V1F
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	ATP6V0A1
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	ATP6V1A ATP6V1B2 ATP6V1E1 ATP6V1F ATP6V1H
GO:0033179	proton-transporting V-type ATPase, V0 domain	ATP6V0A1
GO:0033180	proton-transporting V-type ATPase, V1 domain	ATP6V1A ATP6V1B2 ATP6V1F ATP6V1H
GO:0033182	regulation of histone ubiquitination	OTUB1 RNF20 RNF40
GO:0033183	negative regulation of histone ubiquitination	OTUB1
GO:0033184	positive regulation of histone ubiquitination	RNF20 RNF40
